"Фильм «Левиафан» остался без «Оскара»",http://lenta.ru/news/2015/02/23/oscar/,"
    Премию «Оскар» в номинации «Лучший фильм на иностранном языке» получила кинокартина «Ида» польского режиссера Павла Павликовского. Об этом было объявлено в ходе торжественной церемонии вручения награды американской Академии кинематографических искусств и наук.
  ","Mon, 23 Feb 2015 05:12:00 +0300"
"Вандалы осквернили мемориал в память о жертвах теракта в Париже",http://lenta.ru/news/2015/02/23/charlie/,"
    Неизвестные вандалы осквернили мемориал в память о жертвах нападения на редакцию журнала Charlie Hebdo, воздвигнутый на Площади Республики в центре столицы Франции. По словам активистов, это уже четвертое за две недели нападение на импровизированный памятник из фотографий и цветов. Волонтеры уже подали заявление в полицию.
  ","Mon, 23 Feb 2015 05:04:00 +0300"
"FT узнала о готовности ЕС блокировать ядерную сделку между Венгрией и Россией",http://lenta.ru/news/2015/02/23/hungary/,"
    Евросоюз может наложить вето на сделку между Россией и Венгрией относительно строительства двух энергоблоков атомной электростанции «Пакш», так как опасается возможной блокировки Будапештом новых санкций против РФ. Сейчас законность контракта проверяют Евратом и Еврокомиссия.
  ","Mon, 23 Feb 2015 04:14:00 +0300"
"При крушении парома в Бангладеш погибли десятки человек",http://lenta.ru/news/2015/02/23/ferry/,"
    В Бангладеш в результате крушения парома погибли как минимум 66 человек. Инцидент произошел на реке Падма. Паром, направлявшийся из Даулатдии в Патурию, столкнулся с траулером, после чего перевернулся. Всего на судне находились более 150 пассажиров. По меньшей мере 50 пассажиров были спасены.
  ","Mon, 23 Feb 2015 03:56:00 +0300"
"В московском анархистском клубе задержаны более 40 человек",http://lenta.ru/news/2015/02/23/club/,"
    Полиция задержала более 40 человек перед благотворительным концертом в анархистском клубе имени Джерри Рубина на юго-западе Москвы. При этом вместе с посетителями были задержаны и музыканты, которые должны были участвовать в выступлении. Спустя несколько часов все задержанные были отпущены.
  ","Mon, 23 Feb 2015 02:56:00 +0300"
"Милиция рассказала ОБСЕ подробности взрыва в Харькове",http://lenta.ru/news/2015/02/23/osce/,"
    Взрывное устройство, сработавшее во время марша в центре Харькова, было аналогично тому, которое взорвалось у здания Московского районного суда. Об этом представители МВД сообщили сотрудникам Специальной мониторинговой миссии ОБСЕ, которые были очевидцами произошедшего.
  ","Mon, 23 Feb 2015 01:19:00 +0300"
"Премьер-министр Словакии предложил смягчить санкции против Москвы",http://lenta.ru/news/2015/02/23/fizo/,"
    Глава правительства Словакии Роберт Фицо призвал снять санкции с отдельных физических лиц, которые, по его словам, мешают политическому диалогу. Премьер-министр также признал, что антироссийские санкции и ответные меры со стороны Москвы нанесли урон экономике Словакии, и выразил уверенность в необходимости федерализации Украины.
  ","Mon, 23 Feb 2015 01:13:29 +0300"
"Власти Украины сформируют добровольческий танковый батальон",http://lenta.ru/news/2015/02/23/tank/,"
    На Украине осуществляется формирование добровольческого танкового батальона. Об этом сообщил советник президента страны Юрий Бирюков. Он опроверг слухи, что в нынешней ситуации добровольческие батальоны подвергнутся расформированию.
  ","Mon, 23 Feb 2015 00:25:00 +0300"
"Роспотребнадзор запретил ввоз польских сырных продуктов",http://lenta.ru/news/2015/02/22/ban/,"
    Роспотребнадзор запретил ввоз в РФ сырных и сыроподобных продуктов из Польши из-за нарушения регламентов Таможенного союза, касающихся маркировки, сообщает пресс-служба ведомства. Запрет введен с пятницы, 20 февраля, информация о нем направлена в Федеральную таможенную службу.
  ","Mon, 23 Feb 2015 00:19:00 +0300"
"Порошенко призвал ЕС оказать давление на Россию",http://lenta.ru/news/2015/02/22/poroshenko/,"
    Президент Украины Петр Порошенко в ходе встречи со словацким коллегой Андреем Киской призвал Европу оказать давление на Россию для реализации минских договоренностей. Ранее глава Евросовета Дональд Туск заявил, что лидеры стран-членов ЕС обсуждают возможность введения новых санкций против России.
  ","Sun, 22 Feb 2015 23:56:44 +0300"
"Из загоревшейся южноафриканской шахты спасены все горняки",http://lenta.ru/news/2015/02/22/mine/,"
    Южноафриканские спасатели вывели на поверхность всех 486 горняков, заблокированных в забое из-за пожара на шахте по добыче золота компании Harmony Gold. Никто из шахтеров, по предварительным данным, не пострадал, но все они будут обследованы медиками. В операции были задействованы семь бригад спасателей.
  ","Sun, 22 Feb 2015 23:01:00 +0300"
"В ДНР назвали дату начала отвода тяжелого вооружения",http://lenta.ru/news/2015/02/22/dnr/,"
    Самопровозглашенная Донецкая народная республика намерена начать отвод тяжелого вооружения 24 февраля, сообщил представитель Минобороны ДНР Эдуард Басурин. Операцию планируется завершить в течение двух недель. Басурин также заявил, что за сутки украинские силовики 29 раз нарушили режим перемирия. В результате ранены два мирных жителя.
  ","Sun, 22 Feb 2015 22:39:00 +0300"
"Ляшко обвинил мэра Харькова в причастности к взрыву",http://lenta.ru/news/2015/02/22/lyasko/,"
    Лидер Радикальной партии Украины обвинил в причастности к взрыву в Харькове мэра города Геннадия Кернеса. Назвав его «лидером местных ватников», Ляшко отметил: «Если бы нашей власти хватило мужества посадить этого московского агента раньше — возможно, этих убийств и не было».
  ","Sun, 22 Feb 2015 22:03:00 +0300"
